indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,visible_on_platform,updateFreq,used_for_model,currently feeding into the model,District Level Aggregation,License,State (Owned),Comments
risk-score,Overall Flood Risk,"Risk of disasters is a function of - hazard, vulnerability, exposure, and coping capacity (government response)",111,Overall Flood Risk,,Score,MODEL,y,monthly,y,,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Overall Flood Risk,Overall Flood Risk,Score,MODEL,,n,monthly,y,,,,
flood-hazard,Hazard,Hazards or Potential of a physical event that may cause loss of life or property,80,Hazard,Overall Flood Risk,Score,MODEL,y,monthly,y,,,,,"30-May: Add ""Score"""
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,,monthly,y,y,max,GODL,,
elevation-mean,Mean Elevation,Mean elevation of the region,28,Hazard,Hazard,m,NASADEM,y,one-time,y,,mean,,,30-May: Round off 2 decimal points
distance-from-river,Distance from the river,Average distance from river,27,Hazard,Hazard,km,WRIS,y,,y,,,,,
distance-from-sea,Average Distance from the Sea,Average distance from the sea,29,Hazard,Hazard,m,BharatMaps,y,one-time,y,,mean,,,
mean-daily-runoff,Mean Runoff,Average surface runoff for a month,34,Hazard,Hazard,mm/day,NRSC,y,monthly,y,,mean,,,
sum-runoff,Total Runoff per month,Total Runoff per month,22,Hazard,Hazard,mm/day,NRSC,y,monthly,y,,sum,,,
peak-runoff,Highest Daily Runoff,Highest Daily Runoff,20,Hazard,Hazard,mm/day,NRSC,y,monthly,n,,max,,,
mean-rain,Mean rainfall value in the region,Mean rainfall value in the region,33,Hazard,Hazard,mm,IMD,,monthly,y,y,mean,GODL,,
sum-rain,Total Monthly Rainfall,Sum rainfall value in the region during the given month,55,Hazard,Hazard,mm,IMD,y,monthly,,,sum,GODL,,30-May: Round off (no decimal)
mean-ndvi,Mean NDVI,Mean Normalised Difference Vegetation Index (NDVI) value for the region,71,Hazard,Hazard,Ratio,SENTINEL,,,,,,Creative Commons CC BY-SA 3.0 IGO,,
inundation-pct,Percentage Area Inundated,Percentage area of the region detected as inundated,51,Hazard,Hazard,Ratio,BHUVAN,n,monthly,N,n,,GNU General Public License,,
inundation-intensity-mean,Mean Intensity of Inundation,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the region. For instance, if a pixel A in region got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",408,Hazard,Hazard,Ratio,BHUVAN,,monthly,,,,GNU General Public License,,
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Hazard,Ratio,BHUVAN,,monthly,n,y,mean,GNU General Public License,,
