indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Datasetlink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,License,State (Owned),Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
 Click a district to understand factors contributing to flood risk.",181,Composite Flood Risk,,Score,MODEL,,,y,monthly,y,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Composite Flood Risk,Composite Flood Risk,Score,MODEL,,,,n,monthly,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,"30-May: Add ""Score"""
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/1e7a3edb-0614-486c-bab6-0fc29f0d4ce7,,monthly,y,max,GODL,,
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,https://civicdataspace.in/datasets/28d9144f-e846-4017-86fc-7af83d078354,y,one-time,y,mean,,,30-May: Round off 2 decimal points
distance-from-river,Distance from the river,Average distance from river,27,Hazard,Hazard,km,WRIS,,https://civicdataspace.in/datasets/ebca0d4a-2df7-46ae-a315-640bce23968a,y,,y,,,,
distance-from-sea,Average Distance from the Sea,This is the average distance of the selected region from the sea,64,Hazard,Hazard,m,BharatMaps,,,y,one-time,y,mean,,,
mean-daily-runoff,Mean Runoff,This is the average surface runoff of water for a month.,56,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/86006661-704a-43c9-bb66-1c2d6ca018b4,y,monthly,y,mean,,,
sum-runoff,Total Runoff per month,This is the total surface runoff of water for a month.,54,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/86006661-704a-43c9-bb66-1c2d6ca018b4,y,monthly,y,sum,,,
peak-runoff,Highest Daily Runoff,This is the highest surface runoff of water within one day in the selected month.,81,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/86006661-704a-43c9-bb66-1c2d6ca018b4,y,monthly,n,max,,,
