indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,dataSourceLink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,License,adminLevel,cumulativeIndicator,State (Owned),Comments,Comments
peak-runoff,Highest Daily Runoff,This is the highest surface runoff of water within one day in the selected month.,81,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/f12065ab-4cbe-4a19-b7fd-aea17fc28448,n,monthly,n,max,,tehsil,,,,
mean-cn,Mean Curve Number,Curve Numbers help in estimation of Surface runoff,50,Hazard,Hazard,,GCN250,,https://civicdataspace.in/datasets/3b4970ba-beb7-461c-915b-618535fd52a8,n,annually,n,,MIT License,tehsil,,,,
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,https://civicdataspace.in/datasets/856a8f02-90f0-4af1-8534-62a9731299ce,y,one-time,y,mean,,tehsil,,,30-May: Round off 2 decimal points,30-May: Round off 2 decimal points
slope-mean,Mean slope,Mean slope of the region,24,Hazard,Hazard,degrees,NASADEM,,https://civicdataspace.in/datasets/856a8f02-90f0-4af1-8534-62a9731299ce,y,one-time,y,,,tehsil,,,,
drainage-density,Drainage density,Drainage density is a measurement of the sum of the channel lengths per unit area,81,Hazard,Hazard,km / sq.km,NASADEM,,https://civicdataspace.in/datasets/856a8f02-90f0-4af1-8534-62a9731299ce,y,annually,y,mean,,tehsil,,,"30-May: Remove variable from platform (may be used for model, but not shown on platform)","30-May: Remove variable from platform (may be used for model, but not shown on platform)"
distance-from-river-mean,Average Distance From a River,This is the average distance of the selected region from the nearest river,74,Hazard,Hazard,km,WRIS,,https://civicdataspace.in/datasets/a59afb9a-7003-4b72-b66f-4cff680a5ebf,y,,y,,,tehsil,,,,
mean-ndbi,Mean NDBI,Mean Normalised Difference Building Index (NDBI) value for the region,69,Hazard,Hazard,Ratio,SENTINEL,,https://civicdataspace.in/datasets/e1f0295b-a0f3-4921-9449-f87cb689c794,,,,,Creative Commons CC BY-SA 3.0 IGO,tehsil,,,,
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Overall Flood Risk,Score,,,,y,,,,,tehsil,,,,
total-hhd,Total Number of Households,This is the total number of households as assets.,49,Exposure,Exposure,,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/0fe407db-7204-4c3b-8478-a02ebe060f20,y,annually,y,sum,GODL,tehsil,,,"30-May: no unit, round off (no decimals)","30-May: no unit, round off (no decimals)"
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,,WORLDPOP,,https://civicdataspace.in/datasets/1e30a465-ac3a-4c16-96d2-3f25264e9432,y,annually,y,sum,Creative Commons Attribution 4.0 International License,tehsil,,,"30-May: Remove population (not necessary since households number takes care of it)
 Keep sex ratio: add a row for this - no unit, round off to 2 decimal points","30-May: Remove population (not necessary since households number takes care of it)
Keep sex ratio: add a row for this - no unit, round off to 2 decimal points"
vulnerability,Vulnerability,The socio-economic and environmental vulnerabilities which can increase the impact of a hazard on a community. Also includes actual disaster impact as losses and damages.,170,Vulnerability,Overall Flood Risk,Score,MODEL,,,y,,,mean,,tehsil,,,"30-May: Add ""Score""","30-May: Add ""Score"""
total-livestock-loss,Livestock Lost,This is the sum of all livestock types lost in disaster events,62,Vulnerability,Vulnerability,Count,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
schools-damaged,Schools Damaged,This is the number of schools damaged normalised against total number of schools,80,Vulnerability,Vulnerability,Count,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
person-dead,Human Lives Lost,"This is the number of lives lost, normalised against population",63,Vulnerability,Vulnerability,Count,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
person-major-injury,People with major injuries,"This is the number of injured people, normalised against population",67,Vulnerability,Vulnerability,Count,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
structure-lost,Built Structures Lost,"This is the number of built structures lost, normalised against population",74,Vulnerability,Vulnerability,Count,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
health-centres-lost,Health Centres Lost,"THis is the number of health centres lost, normalised against area population",77,Vulnerability,Vulnerability,Count,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
total-infrastructure-damage,Total Infrastructure Damage,"This is the total number roads, bridges and embankments damaged",63,Vulnerability,Vulnerability,Number,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,n,sum,,tehsil,,,,
roadlength,Length of Roads Damaged in ULB's,"This is the length of roads damaged, normalised against total road length in the region",87,Vulnerability,Vulnerability,km,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,monthly,y,sum,,tehsil,,,,
avg-electricity,Average Availablity of Domestic Electricity,This is the average number of hours of domestic electricity available daily,75,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/0fe407db-7204-4c3b-8478-a02ebe060f20,y,annually,y,mean,GODL,tehsil,,,,
tehsil-piped-hhds-pct,Percentage of Households with Piped Water Connection,This is a percentage of households with piped water connection,62,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/0fe407db-7204-4c3b-8478-a02ebe060f20,y,annually,y,mean,GODL,tehsil,,,,
tehsil-nosanitation-hhds-pct,Percentage of Households Without Sanitation Facilities,This is the percentage of households without sanitation facilities,66,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/0fe407db-7204-4c3b-8478-a02ebe060f20,y,annually,y,mean,GODL,tehsil,,,,
sum-aged-population,Elderly Population,This is the number of people of ages greater than or equal to 65,64,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/1e30a465-ac3a-4c16-96d2-3f25264e9432,y,annually,y,sum,Creative Commons Attribution 4.0 International License,tehsil,,,,
sum-young-population,Children Population,This is the number of people of ages less than or equal to 5,60,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/1e30a465-ac3a-4c16-96d2-3f25264e9432,y,annually,,,Creative Commons Attribution 4.0 International License,tehsil,,,,
health-centres-count,Number of Health Centres,This is the number of health centres in the region,50,Vulnerability,Exposure,Number,BHARATMAPS,,https://civicdataspace.in/datasets/8dd7c6af-6c52-48e0-9daa-75ff7b8c0e89,n,annually,n,sum,,tehsil,,,"30-May: no units, round off - no decimal point","30-May: no units, round off - no decimal point"
schools-count,Number of Schools,This is the number of Schools in the region,43,Vulnerability,Exposure,Number,BHARATMAPS,,https://civicdataspace.in/datasets/8dd7c6af-6c52-48e0-9daa-75ff7b8c0e89,y,annually,y,sum,,tehsil,,,,
rail-length,Length of Rail in the Region,This is the length of rail in the region,40,Vulnerability,Exposure,km,BHARATMAPS,,https://civicdataspace.in/datasets/8dd7c6af-6c52-48e0-9daa-75ff7b8c0e89,y,annually,y,sum,,tehsil,,,,
road-length,Length of Road,This is the length of road in the region,40,Vulnerability,Exposure,km,BHARATMAPS,,https://civicdataspace.in/datasets/8dd7c6af-6c52-48e0-9daa-75ff7b8c0e89,y,annually,y,sum,,tehsil,,,,
net-sown-area-in-hac,Net Sown Area,This is the total sown area in the region,41,Vulnerability,Exposure,hectares,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/0fe407db-7204-4c3b-8478-a02ebe060f20,y,annually,y,sum,GODL,tehsil,,,,
mean-sex-ratio,Mean Sex Ratio,This is the number females per 1000 males,41,Vulnerability,Exposure,Ratio,WORLDPOP,,https://civicdataspace.in/datasets/1e30a465-ac3a-4c16-96d2-3f25264e9432,y,annually,y,mean,Creative Commons Attribution 4.0 International License,tehsil,,,,
avg-tele,Average availablity of telecom services,Average availablity of telecom services,39,Vulnerability,Vulnerability,category,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/0fe407db-7204-4c3b-8478-a02ebe060f20,n,monthly,n,,GODL,tehsil,,,,
financial-vulnerability-index,Financial Vulnerability Index,The financial capital was assessed by per capita household income and working to non-working members ratio. Equal weightage is given to both the indicators.,156,Vulnerability,Vulnerability,Score,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,,y,,,tehsil,,,,
social-vulnerability-index,Social Vulnerability Index,"A measure of social networks and institutions from where households gain social security at the time of need, stress or shock.",127,Vulnerability,Vulnerability,Score,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,,y,,,tehsil,,,,
natural-vulnerability-index,Natural Vulnerability Index,"A composite indicator that is a measure of access to NTFP, fuel wood and fodder, and land ownership. Equal weightage was given to these sub-indicators.",151,Vulnerability,Vulnerability,Score,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,,y,,,tehsil,,,,
human-vulnerability-index,Human Vulnerability Index,"This index is based on three indicators- the highest education level in the household, dependency ratio and presence of members with disability or terminal illness.",164,Vulnerability,Vulnerability,Score,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,,y,,,tehsil,,,,
physical-vulnerability-index,Physical Vulnerability Index,A composite indicator that measures the private physical assets as well as public infrastructure and services,109,Vulnerability,Vulnerability,Score,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,,y,,,tehsil,,,,
composite-vulnerability-index,Composite Vulnerability Index,,0,Vulnerability,Vulnerability,Score,HPSDMA,,https://civicdataspace.in/datasets/c3a600db-15f0-4e1a-b93e-c1736483ecf7,y,,y,,,tehsil,,,,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. For example, procurement or SDRF allocations.",168,Government Response,Overall Flood Risk,Score,MODEL,,,y,,,,,tehsil,,,"30-May: Add ""Score""","30-May: Add ""Score"""
total-tender-awarded-value,Flood Tenders : Total Value ,This is the total value of flood related tenders,48,Government Response,Government Response,INR,https://hptenders.gov.in/,,https://civicdataspace.in/datasets/bc2e34ba-21ce-496e-8462-518bdb0965db,y,monthly,y,sum,,tehsil,total-tender-awarded-value-fy-cumsum,,"30-May: Add Total Number of Flood Related Tenders above
 No unit","30-May: Add Total Number of Flood Related Tenders above
No unit"
sdrf-tenders-awarded-value,Flood Tenders Under SDRF : Total value,This is the total value of tenders that are tagged under State Disaster Response Fund,85,Government Response,Government Response,INR,https://hptenders.gov.in/,,https://civicdataspace.in/datasets/bc2e34ba-21ce-496e-8462-518bdb0965db,y,monthly,n,sum,,tehsil,sdrf-tenders-awarded-value-fy-cumsum,,,
relief-and-mitigation-sanction-value,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value ,This is the total value of SDRF funds sanctioned at the district level.,111,Government Response,Government Response,INR,https://hpsdma.nic.in/Index1.aspx?lid=5328&lsid=8974&pid=8973&lev=3&langid=1,,,y,monthly,y,sum,,district,relief-and-mitigation-sanction-value-fy-cumsum,,,
restoration-measures-tenders-awarded-value,Repairs and Restoration Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Repair Restoration Measures,90,Government Response,Government Response,INR,https://hptenders.gov.in/,,https://civicdataspace.in/datasets/bc2e34ba-21ce-496e-8462-518bdb0965db,y,monthly,n,sum,,tehsil,restoration-measures-tenders-awarded-value-fy-cumsum,,"30-May: Add ""Total Value of Flood Tenders for Preparedness""","30-May: Add ""Total Value of Flood Tenders for Preparedness"""
others-tenders-awarded-value,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,104,Government Response,Government Response,INR,https://hptenders.gov.in/,,https://civicdataspace.in/datasets/bc2e34ba-21ce-496e-8462-518bdb0965db,y,monthly,n,sum,,tehsil,others-tenders-awarded-value-fy-cumsum,,,
immediate-measures-tenders-awarded-value,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,72,Government Response,Government Response,INR,https://hptenders.gov.in/,,https://civicdataspace.in/datasets/bc2e34ba-21ce-496e-8462-518bdb0965db,y,monthly,y,sum,,tehsil,immediate-measures-tenders-awarded-value-fy-cumsum,,,
preparedness-measures-tenders-awarded-value,Preparedness Measures Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Preparedness,75,Government Response,Government Response,INR,,,,y,monthly,n,sum,,tehsil,preparedness-measures-tenders-awarded-value-fy-cumsum,,,
total-tender-awarded-value-fy-cumsum,Flood Tenders : Total Value ,Total value of flood related tenders,36,Government Response,Government Response,INR,assamtenders.gov.in,,,y,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,y,y,sum,,,,
sdrf-tenders-awarded-value-fy-cumsum,Flood Tenders Under SDRF : Total value,This variable gives information of total value of tenders that were granted under State Disaster Response Fund,110,Government Response,Government Response,INR,assamtenders.gov.in,,,y,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,y,y,sum,,,,
restoration-measures-tenders-awarded-value-fy-cumsum,Repairs and Restoration Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Repair Restoration Measures,79,Government Response,Government Response,INR,assamtenders.gov.in,,,y,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,n,,sum,,,,
relief-and-mitigation-sanction-value-fy-cumsum,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value ,This is the total value of SDRF funds sanctioned at the district level.,77,Government Response,Government Response,INR,assamtenders.gov.in,,,y,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,n,,sum,,,,
others-tenders-awarded-value-fy-cumsum,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,177,Government Response,Government Response,INR,assamtenders.gov.in,,,y,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,n,,sum,,,,
immediate-measures-tenders-awarded-value-fy-cumsum,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,,Government Response,Government Response,INR,,,,y,monthly,n,sum,,tehsil,,,,
preparedness-measures-tenders-awarded-value-fy-cumsum,Preparedness Measures Flood Tenders : Total Value,This is the total value of all tenders that are tagged towards Preparedness,,Government Response,Government Response,INR,,,,y,monthly,n,sum,,tehsil,,,,
