indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,dataSourceLink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,License,adminLevel,cumulativeIndicator,State (Owned),Comments,Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
 Click a district to understand factors contributing to flood risk.",181,Overall Flood Risk,,Score,MODEL,,,y,,y,,,,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Overall Flood Risk,Overall Flood Risk,Score,MODEL,,,n,n,monthly,,,,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Overall Flood Risk,Score,MODEL,,,y,,y,,,tehsil,,,"30-May: Add ""Score""","30-May: Add ""Score"""
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/4b5248fe-28fc-45eb-982f-2332d4c9e108,n,monthly,y,max,GODL,tehsil,,,,
mean-rain,Mean rainfall value in the region,Mean rainfall value in the region,33,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/4b5248fe-28fc-45eb-982f-2332d4c9e108,n,monthly,y,mean,GODL,tehsil,,,,
sum-rain,Total Monthly Rainfall,This is the total rainfall (in mm) in the region during the given month,71,Hazard,Hazard,mm,IMD,,https://civicdataspace.in/datasets/4b5248fe-28fc-45eb-982f-2332d4c9e108,y,monthly,y,sum,GODL,tehsil,,,30-May: Round off (no decimal),30-May: Round off (no decimal)
mean-ndvi,Mean NDVI,Mean Normalised Difference Vegetation Index (NDVI) value for the region,71,Hazard,Hazard,Ratio,SENTINEL,,https://civicdataspace.in/datasets/7d35734f-6a09-43d5-a553-e4231f586544,n,,n,,Creative Commons CC BY-SA 3.0 IGO,tehsil,,,,
inundation-pct,Percentage Area Inundated,Percentage area of the region detected as inundated,51,Hazard,Hazard,Ratio,BHUVAN,,,n,monthly,N,,GNU General Public License,tehsil,,,,
inundation-intensity-mean,Sum of inundation intensities,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the region. For instance, if a pixel A in region got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",408,Hazard,Hazard,Ratio,BHUVAN,,,n,monthly,n,,GNU General Public License,tehsil,,,,
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Hazard,Ratio,BHUVAN,,,n,monthly,n,mean,GNU General Public License,tehsil,,,,
inundation-intensity-sum,Sum of inundation intensities,"This is the historical incidence of inundation in the selected area, based on satellite observation, aggregated over the month.",128,Hazard,Hazard,Ratio,BHUVAN,,,n,monthly,n,sum,GNU General Public License,tehsil,,,"30-May: Percentage of Inundated Area, unit - %
 Upto 2 decimal points
 Work with data team for calculation","30-May: Percentage of Inundated Area, unit - %
Upto 2 decimal points
Work with data team for calculation"
mean-daily-runoff,Mean Runoff,This is the average surface runoff of water for a month.,56,Hazard,Hazard,mm/day,NRSC,,https://civicdataspace.in/datasets/f12065ab-4cbe-4a19-b7fd-aea17fc28448,y,monthly,y,mean,,tehsil,,,,
sum-runoff,Total Runoff per month,This is the total surface runoff of water for a month.,54,Hazard,Hazard,mm/month,NRSC,,https://civicdataspace.in/datasets/f12065ab-4cbe-4a19-b7fd-aea17fc28448,n,monthly,,sum,,tehsil,,,,
