indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Dataset Link,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,adminLevel,cumulativeIndicator,License,License,State (Owned),Comments
avg-electricity,Average Availablity of Domestic Electricity,This is the average number of hours of domestic electricity available daily,75,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,mean,,,GODL,GODL,,
sd-piped-hhds-pct,Percentage of Households with Piped Water Connection,This is a percentage of households with piped water connection,62,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,mean,,,GODL,GODL,,
sd-nosanitation-hhds-pct,Percentage of Households Without Sanitation Facilities,This is the percentage of households without sanitation facilities,66,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,mean,,,GODL,GODL,,
avg-tele,Average availablity of telecom services,Average availablity of telecom services,39,Vulnerability,Vulnerability,category,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,n,monthly,n,,,,GODL,GODL,,
schools-count,Number of Schools,This is the number of Schools in the region,43,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
rail-length,Length of Rail in the Region,This is the length of rail in the region,40,Vulnerability,Vulnerability,km,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
road-length,Length of Road,This is the length of road in the region,40,Vulnerability,Vulnerability,km,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,sum,,,,,,
mean-sex-ratio,Mean Sex Ratio,This is the number females per 1000 males,41,Vulnerability,Vulnerability,Ratio,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,y,mean,Creative Commons Attribution 4.0 International License,,,,,
sum-aged-population,Elderly Population,This is the number of people of ages greater than or equal to 65,64,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,y,sum,Creative Commons Attribution 4.0 International License,,,,,
sum-young-population,Children Population,This is the number of people of ages less than or equal to 5,60,Vulnerability,Vulnerability,Number,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,,,Creative Commons Attribution 4.0 International License,,,,,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. For example, procurement or SDRF allocations.",168,Government Response,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
total-tender-awarded-value,Flood Tenders : Total Value ,This is the total value of flood related tenders,48,Government Response,Government Response,INR,assamtenders.gov.in,,https://civicdataspace.in/datasets/ded8759e-a5af-4a72-8dfa-bc49ee0e6242,y,monthly,y,sum,,total-tender-awarded-value-fy-cumsum,,,,
total-tender-awarded-value-fy-cumsum,Flood Tenders : Total Value ,Total value of flood related tenders,36,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
sdrf-tenders-awarded-value-fy-cumsum,Flood Tenders Under SDRF : Total value ,This is the total value of tenders that are tagged under State Disaster Response Fund,110,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
restoration-measures-tenders-awarded-value-fy-cumsum,Repairs and Restoration Flood Tenders : Total Value  ,This is the total value of all tenders that are tagged towards Repair Restoration Measures,79,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
relief-and-mitigation-sanction-value-fy-cumsum,Immediate Measure Flood Tenders : Total Value,This is the total value of tenders that are tagged as Immediate Measures,77,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
others-tenders-awarded-value-fy-cumsum,Other Flood Tenders : Total value of Non restoration and Preparedness tenders,This is the total value of flood tenders that could not be tagged to a specific disaster relief activity,177,Government Response,Government Response,INR,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,monthly,n,sum,,,,,,
sdrf-sanctions-awarded-value-fy-cumsum,State Disaster Relief Funds Allocated District-wise During SEC meetings : Total Value ,This is the total value of SDRF funds sanctioned at the district level.,59,Government Response,Government Response,INR,SEC meeting minutes,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,,y,d,n,sum,,,,,,
