indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,dataSourceLink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,currently feeding into the model,District Level Aggregation,License,cumulativeIndicator,State (Owned),Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
Click a district to understand factors contributing to flood risk.",181,Composite Flood Risk,,Score,MODEL,,,y,,y,,,,,,
topsis-score,Topsis Score,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Composite Flood Risk,Composite Flood Risk,Score,MODEL,n,,n,monthly,y,,,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,"30-May: Add ""Score"""
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,,,monthly,y,y,max,GODL,,,
mean-rain,Mean rainfall value in the region,Mean rainfall value in the region,33,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,,,monthly,y,y,mean,GODL,,,
sum-rain,Total Monthly Rainfall,This is the total rainfall (in mm) in the region during the given month,71,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/bfa3e73b-893e-4f9b-b9de-11c26f7a229e,y,monthly,,,sum,CC BY 4.0,,,30-May: Round off (no decimal)
mean-ndvi,Mean NDVI,Mean Normalised Difference Vegetation Index (NDVI) value for the region,71,Hazard,Hazard,Ratio,SENTINEL,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
inundation-pct,Percentage Area Inundated,Percentage area of the region detected as inundated,51,Hazard,Hazard,Ratio,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,,n,monthly,N,n,,GNU General Public License,,,
inundation-intensity-mean,Sum of inundation intensities,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the region. For instance, if a pixel A in region got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",408,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,,,monthly,,,,GNU General Public License,,,
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,,,monthly,y,y,mean,GNU General Public License,,,
inundation-intensity-sum,Sum of inundation intensities,"This is the historical incidence of inundation in the selected area, based on satellite observation, aggregated over the month. ",128,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://drr.open-contracting.in/en/datasets/96b99b45-f974-43ca-882a-a33a45a82f51,y,monthly,y,y,sum,CC BY 4.0,,,"30-May: Percentage of Inundated Area, unit - %
Upto 2 decimal points
Work with data team for calculation"
riverlevel-mean,Mean River Water Level,Mean of river water levels from all Flood Forecasting Stations in the region,76,Hazard,Hazard,m,CWC,,,,,,,,,,,
riverlevel-min,Minimum River water level,Minimum river water levels from all Flood Forecasting Stations in the region,76,Hazard,Hazard,m,CWC,,,,,,,,,,,
riverlevel-max,Maximum River water level,Maximum river water levels from all Flood Forecasting Stations in the region,76,Hazard,Hazard,m,CWC,,,,,,,,,,,
water,Percentage of area under water,Percentage of area under water,30,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
trees,Percentage of area under trees,Percentage of area under trees,30,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
flooded-vegetation,Percentage of area under flooded vegetation,Percentage of area under flooded vegetation,43,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
crops,Percentage of area under crops,Percentage of area under crops,30,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
built-area,Percentage of area under buildings,Percentage of area under buildings,34,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
bare-ground,Percentage of area that is bare ground,Percentage of area that is bare ground,38,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,30-May: Remove the variable (needed in calculation but not  on platform)
clouds,Percentage of area covered by clouds,Percentage of area covered by clouds,36,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
rangeland,Percentage of area defined as range lands,Percentage of area defined as range lands,41,Hazard,Hazard,Ratio,SENTINEL-2 Land Cover,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
mean-cn,Mean Curve Number,Curve Numbers help in estimation of Surface runoff,50,Hazard,Hazard,,GCN250,,,,,,,,MIT License,,,
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,https://civicdataspace.in/datasets/edc944e7-b7bd-4c49-8ecf-1ec582ad1aa9,y,one-time,,,mean,,,,30-May: Round off 2 decimal points
slope-mean,Mean slope,Mean slope of the region,24,Hazard,Hazard,degrees,NASADEM,,,,one-time,,,,,,,
drainage-density,Drainage density,Drainage density is a measurement of the sum of the channel lengths per unit area,81,Hazard,Hazard,km / sq.km,NASADEM,,,,annually,y,y,mean,,,,"30-May: Remove variable from platform (may be used for model, but not shown on platform)"
distance-from-river,Distance from the river,Average distance from river,27,Hazard,Hazard,km,WRIS,,,,,,,,,,,
mean-ndbi,Mean NDBI,Mean Normalised Difference Building Index (NDBI) value for the region,69,Hazard,Hazard,Ratio,SENTINEL,,,,,,,,Creative Commons CC BY-SA 3.0 IGO,,,
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,
total-hhd,Total Number of Households,This is the total number of households as assets.,49,Exposure,Exposure,Number,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/179c950b-ce16-4271-b62d-75d98f20a858,y,annually,y,y,sum,CC BY 4.0,,,"30-May: no unit, round off (no decimals)"
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,Number,WORLDPOP,,https://drr.open-contracting.in/en/datasets/5225d012-a3cc-49b0-ac83-422d40225b7c,y,annually,y,y,sum,CC BY 4.0,,,"30-May: Remove population (not necessary since households number takes care of it)
Keep sex ratio: add a row for this - no unit, round off to 2 decimal points"
vulnerability,Vulnerability,The socio-economic and environmental vulnerabilities which can increase the impact of a hazard on a community. Also includes actual disaster impact as losses and damages.,170,Vulnerability,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,"30-May: Add ""Score"""
lives-missing,Lives missing?? Is data available?,,,,Vulnerability,,,,,n,monthly,,n,,,,,
health-centres-count,Number of Health Centres,This is the number of health centres in the region,50,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://drr.open-contracting.in/datasets/8814b900-409c-4120-86a7-9cfc89b841a9,y,annually,y,y,sum,CC BY 4.0,,,"30-May: no units, round off - no decimal point"
avg-electricity,Average Availablity of Domestic Electricity,This is the average number of hours of domestic electricity available daily,75,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/179c950b-ce16-4271-b62d-75d98f20a858,y,annually,y,y,mean,CC BY 4.0,,,
rc-piped-hhds-pct,Percentage of Households with Piped Water Connection,This is a percentage of households with piped water connection,62,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/179c950b-ce16-4271-b62d-75d98f20a858,y,annually,y,y,mean,CC BY 4.0,,,
rc-nosanitation-hhds-pct,Percentage of Households Without Sanitation Facilities,This is the percentage of households without sanitation facilities,66,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/179c950b-ce16-4271-b62d-75d98f20a858,y,annually,y,y,mean,CC BY 4.0,,,
sum-aged-population,Elderly Population,This is the number of people of ages greater than or equal to 65,64,Vulnerability,Vulnerability,Number,WORLDPOP,,https://drr.open-contracting.in/en/datasets/5225d012-a3cc-49b0-ac83-422d40225b7c,y,annually,y,y,sum,CC BY 4.0,,,
sum-young-population,Children Population,This is the number of people of ages less than or equal to 5,60,Vulnerability,Vulnerability,Number,WORLDPOP,,https://drr.open-contracting.in/en/datasets/5225d012-a3cc-49b0-ac83-422d40225b7c,y,annually,,,,CC BY 4.0,,,
total-female-population,Women Population,"This is the population of women in the selected region, based on sex ratio",74,Vulnerability,Vulnerability,Number,WORLDPOP,,,y,annually,n,,sum,CC BY 4.0,,,
schools-count,Number of Schools,This is the number of Schools in the region,43,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://drr.open-contracting.in/datasets/8814b900-409c-4120-86a7-9cfc89b841a9,y,annually,y,y,sum,CC BY 4.0,,,
rail-length,Length of Rail in the Region,This is the length of rail in the region,40,Vulnerability,Vulnerability,km,BHARATMAPS,,https://drr.open-contracting.in/datasets/8814b900-409c-4120-86a7-9cfc89b841a9,y,annually,y,y,sum,CC BY 4.0,,,
road-length,Length of Road,This is the length of road in the region,40,Vulnerability,Vulnerability,km,BHARATMAPS,,https://drr.open-contracting.in/datasets/8814b900-409c-4120-86a7-9cfc89b841a9,y,annually,y,y,sum,CC BY 4.0,,,
net-sown-area-in-hac,Net Sown Area,This is the total sown area in the region,41,Vulnerability,Vulnerability,hectares,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/179c950b-ce16-4271-b62d-75d98f20a858,y,annually,y,y,sum,CC BY 4.0,,,
avg-tele,Average availablity of telecom services,Average availablity of telecom services,39,Vulnerability,Vulnerability,category,MISSION ANTYODAYA 2020,,,n,monthly,n,n,,GODL,,,
mean-sex-ratio,Mean Sex Ratio,This is the number females per 1000 males,41,Vulnerability,Vulnerability,Ratio,WORLDPOP,,https://drr.open-contracting.in/en/datasets/5225d012-a3cc-49b0-ac83-422d40225b7c,y,annually,y,y,mean,CC BY 4.0,,,
total-animal-washed-away,Number of animals washed away,Number of animals washed away,29,Vulnerability,Vulnerability,Number,DRIMS,,,n,monthly,n,n,sum,,,,
total-animal-affected,Number of animals affected,Number of animals affected,26,Vulnerability,Vulnerability,Number,DRIMS,,,n,monthly,n,n,sum,,,,
population-affected-total,Total Population Affected,This is the population directly impacted by flood events as per DRIMS data,74,Vulnerability,Vulnerability,,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9,y,monthly,y,y,max,CC BY 4.0,,y,"30-May: no units, round off - no decimal point"
relief-camp-inmates,Relief camp inmates,Relief camp inmates,19,Vulnerability,Vulnerability,Number,DRIMS,,,n,monthly,n,n,,,,,
human-live-lost,Human Lives Lost,This is the number of human lives lost,38,Vulnerability,Vulnerability,Number,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,monthly,y,y,,CC BY 4.0,,,
crop-area,Total Crop Area Affected,This is the crop area affected by flood events,46,Vulnerability,Vulnerability,Hectares,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,monthly,y,y,max,CC BY 4.0,,y,"30-May: no units, round off - 2 decimal points"
total-house-fully-damaged,Number of Houses Damaged,Number of houses damaged,24,Vulnerability,Vulnerability,Number,DRIMS,,,n,monthly,n,n,sum,,,,
embankments-affected,Total Number of Embankments Affected,This is the number of embankments affected,42,Vulnerability,Vulnerability,,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,monthly,y,y,sum,CC BY 4.0,,y,"30-May: no units, round off - no decimal point"
roads,Total Number of Roads Damaged,This is the number of roads damaged,35,Vulnerability,Vulnerability,,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,monthly,y,y,sum,CC BY 4.0,,y,"30-May: no units, round off - no decimal point"
bridge,Number of Bridges damaged,This is the number of bridges damaged,37,Vulnerability,Vulnerability,Number,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,monthly,y,y,sum,CC BY 4.0,,,
embankment-breached,Number of embankments breached,This is the number of embankments breached,42,Vulnerability,Vulnerability,Number,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,monthly,y,y,sum,CC BY 4.0,,,
relief-camps,Number of Relief camps,This is the number of relief camps,34,Vulnerability,Vulnerability,Number,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,,n,,sum,CC BY 4.0,,,
total-infrastructure-damage,Total Infrastructure Damage,"This is the total number roads, bridges and embankments damaged",63,Vulnerability,Vulnerability,Number,DRIMS,,https://drr.open-contracting.in/en/datasets/dc08ed74-45f8-4cd5-af5c-8227a2eec2c9 ,y,,n,,sum,CC BY 4.0,,,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. For example, procurement or SDRF allocations.",168,Government Response,Composite Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,"30-May: Add ""Score"""
total-tender-awarded-value,Flood Tenders : Total Value ,This is the total value of flood related tenders,48,Government Response,Government Response,INR,,assamtenders.gov.in,https://drr.open-contracting.in/en/datasets/4f11d74b-5ed1-41c4-a018-816b05e0547b,y,monthly,y,y,sum,CC BY 4.0,total-tender-awarded-value-fy-cumsum,,"30-May: Add Total Number of Flood Related Tenders above
No unit"
