indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Dataset Link,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,District Level Aggregation,adminLevel,cumulativeIndicator,License,State (Owned),Comments,Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
 Click a district to understand factors contributing to flood risk.",181,Overall Flood Risk,,Score,MODEL,,,y,,y,,,,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Overall Flood Risk,Overall Flood Risk,Score,MODEL,,,n,monthly,y,,,,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,"30-May: Add ""Score""","30-May: Add ""Score"""
max-rain,Maximum rainfall value in the region,Maximum rainfall value in the region,36,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/16eda4f3-78fa-4702-833f-da332458792c,n,monthly,y,max,,,GODL,,,
mean-rain,Mean rainfall value in the region,Mean rainfall value in the region,33,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/16eda4f3-78fa-4702-833f-da332458792c,n,monthly,y,mean,,,GODL,,,
sum-rain,Total Monthly Rainfall,This is the total rainfall (in mm) in the region during the given month,71,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/16eda4f3-78fa-4702-833f-da332458792c,y,monthly,,sum,,,GODL,,30-May: Round off (no decimal),30-May: Round off (no decimal)
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,https://civicdataspace.in/datasets/a33c6e71-fd59-4b57-b033-00c9bae34a9a,y,one-time,,mean,,,,30-May: Round off 2 decimal points,,
inundation-pct,Percentage Area Inundated,Percentage area of the region detected as inundated,51,Hazard,Hazard,Ratio,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/2c10ed21-6f6b-4f58-83dc-5406fb048e25,n,monthly,N,,,,GNU General Public License,,,
inundation-intensity-mean,Sum of inundation intensities,"Intensity is calculated by dividing number of times a pixel got inundated with the maximum number of times any pixel got inundated in the region. For instance, if a pixel A in region got inundated 5 times in a month and the pixel with maximum inundation saw 10 days of inundation. Then inundation intensity of pixel A is 5/10 = 0.5. This variable then calculates mean of inundation intensities of all pixels.",408,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/2c10ed21-6f6b-4f58-83dc-5406fb048e25,n,monthly,,,,,GNU General Public License,,,
inundation-intensity-mean-nonzero,Mean intensity of inundation (removing 0 intensity pixels),Mean of inundation intensities of all pixels which were inundated atleast once in the month,91,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/2c10ed21-6f6b-4f58-83dc-5406fb048e25,y,monthly,y,mean,,,GNU General Public License,,,
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
total-hhd,Total Number of Households,This is the total number of households as assets.,49,Exposure,Exposure,Number,MISSION ANTYODAYA 2020,,,y,annually,y,sum,,,GODL,,"30-May: no unit, round off (no decimals)","30-May: no unit, round off (no decimals)"
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,Number,WORLDPOP,,,y,annually,y,sum,,,Creative Commons Attribution 4.0 International License,,"30-May: Remove population (not necessary since households number takes care of it)
 Keep sex ratio: add a row for this - no unit, round off to 2 decimal points","30-May: Remove population (not necessary since households number takes care of it)
Keep sex ratio: add a row for this - no unit, round off to 2 decimal points"
vulnerability,Vulnerability,The socio-economic and environmental vulnerabilities which can increase the impact of a hazard on a community. Also includes actual disaster impact as losses and damages.,170,Vulnerability,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,"30-May: Add ""Score""","30-May: Add ""Score"""
avg-electricity,Average Availablity of Domestic Electricity,This is the average number of hours of domestic electricity available daily,75,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,,y,annually,y,mean,,,GODL,,,
sd-piped-hhds-pct,Percentage of Households with Piped Water Connection,This is a percentage of households with piped water connection,62,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y,annually,y,mean,,,GODL,,,
