district,dtname,object-id,timeperiod,health-centres-count,total-tender-awarded-value-fy-cumsum,total-tender-awarded-value,sum-aged-population,sum-young-population,sum-population,avg-electricity,piped-hhds-pct,nosanitation-hhds-pct,workers-affected-pct,pct-ncd,land-surface-temperature,heat-days-score,heat-hazard,exposure,vulnerability,government-response,heat-risk-score
BAJALI,BAJALI,18-799-00124,2021_01,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,27.02,3.167,3,2,1,3,3
BAJALI,BAJALI,18-799-00124,2021_02,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,30.26,9.0,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_03,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,31.72,12.667,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_04,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,32.72,14.5,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_05,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,32.34,11.5,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_06,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,33.45,3.667,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_07,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,0.0,9.333,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_08,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,0.0,5.333,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_09,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,32.24,17.0,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_10,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,30.7,26.667,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_11,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,29.17,0.0,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2021_12,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,27.17,16.5,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_01,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,25.91,0.833,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_02,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,26.93,0.0,3,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_03,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,33.93,31.833,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_04,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,30.22,7.333,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_05,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,33.36,7.333,3,2,1,3,3
BAJALI,BAJALI,18-799-00124,2022_06,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,30.66,1.167,5,2,1,3,4
BAJALI,BAJALI,18-799-00124,2022_07,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,31.93,16.333,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_08,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,34.57,13.333,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_09,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,33.0,5.167,2,2,1,3,2
BAJALI,BAJALI,18-799-00124,2022_10,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,30.86,7.5,1,2,1,4,2
BAJALI,BAJALI,18-799-00124,2022_11,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,28.96,7.0,3,2,1,3,3
BAJALI,BAJALI,18-799-00124,2022_12,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,27.61,11.167,1,2,1,3,2
BAJALI,BAJALI,18-799-00124,2023_01,70,0.0,0.0,12625,24080,322294,6.987,6.032,9.753,78.24,4.012,27.02,16.0,2,2,1,4,2
BAJALI,BAJALI,18-799-00124,2023_02,70,0.0,0.0,12625,24080,322294,6.987,6.032,9.753,78.24,4.012,29.94,10.0,1,2,1,4,2
BAJALI,BAJALI,18-799-00124,2023_03,70,0.0,0.0,12625,24080,322294,6.987,6.032,9.753,78.24,4.012,31.62,1.167,2,2,1,4,2
BAJALI,BAJALI,18-799-00124,2023_04,70,0.0,0.0,12625,24080,322294,6.987,6.032,9.753,78.24,4.012,31.73,14.667,1,2,1,3,2
