district,timeperiod,dtname,health-centres-count,total-tender-awarded-value-fy-cumsum,total-tender-awarded-value,sum-aged-population,sum-young-population,sum-population,avg-electricity,piped-hhds-pct,nosanitation-hhds-pct,workers-affected-pct,pct-ncd,land-surface-temperature,land-surface-temperature-raster,heat-days-score,heat-hazard,exposure,vulnerability,government-response,topsis-score,heat-risk-score,object-id
BAJALI,2021_01,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,27.02,LST_ASSAM_2021_01.tif,3.167,3,2,1,3,0.414,3,18-799-00124
BAJALI,2021_02,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,30.26,LST_ASSAM_2021_02.tif,9.0,2,2,1,3,0.379,2,18-799-00124
BAJALI,2021_03,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,31.72,LST_ASSAM_2021_03.tif,12.667,2,2,1,3,0.379,2,18-799-00124
BAJALI,2021_04,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,32.72,LST_ASSAM_2021_04.tif,14.5,2,2,1,3,0.379,2,18-799-00124
BAJALI,2021_05,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,32.34,LST_ASSAM_2021_05.tif,11.5,1,2,1,3,0.308,2,18-799-00124
BAJALI,2021_06,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,33.45,LST_ASSAM_2021_06.tif,3.667,1,2,1,3,0.308,2,18-799-00124
BAJALI,2021_07,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,0.0,LST_ASSAM_2021_07.tif,9.333,1,2,1,3,0.308,2,18-799-00124
BAJALI,2021_08,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,0.0,LST_ASSAM_2021_08.tif,5.333,2,2,1,3,0.379,2,18-799-00124
BAJALI,2021_09,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,32.24,LST_ASSAM_2021_09.tif,17.0,1,2,1,3,0.308,2,18-799-00124
BAJALI,2021_10,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,30.7,LST_ASSAM_2021_10.tif,26.667,1,2,1,3,0.308,2,18-799-00124
BAJALI,2021_11,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,29.17,LST_ASSAM_2021_11.tif,0.0,2,2,1,3,0.308,2,18-799-00124
BAJALI,2021_12,BAJALI,70,0.0,0.0,11822,24007,318207,6.987,6.032,9.753,78.24,4.012,27.17,LST_ASSAM_2021_12.tif,16.5,2,2,1,3,0.379,2,18-799-00124
BAJALI,2022_01,BAJALI,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,25.91,LST_ASSAM_2022_01.tif,0.833,1,2,1,3,0.308,2,18-799-00124
BAJALI,2022_02,BAJALI,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,26.93,LST_ASSAM_2022_02.tif,0.0,3,2,1,3,0.308,2,18-799-00124
BAJALI,2022_03,BAJALI,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,33.93,LST_ASSAM_2022_03.tif,31.833,1,2,1,3,0.308,2,18-799-00124
BAJALI,2022_04,BAJALI,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,30.22,LST_ASSAM_2022_04.tif,7.333,2,2,1,3,0.308,2,18-799-00124
BAJALI,2022_05,BAJALI,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,33.36,LST_ASSAM_2022_05.tif,7.333,3,2,1,3,0.492,3,18-799-00124
BAJALI,2022_06,BAJALI,70,0.0,0.0,12224,24043,320250,6.987,6.032,9.753,78.24,4.012,30.66,LST_ASSAM_2022_06.tif,1.167,5,2,1,3,0.677,4,18-799-00124
