district,timeperiod,dtname,health-centres-count,total-tender-awarded-value-fy-cumsum,total-tender-awarded-value,heat-days-score,sum-aged-population,sum-young-population,sum-population,avg-electricity,piped-hhds-pct,nosanitation-hhds-pct,total-hhd,workers-affected-pct,women-sugar,men-sugar,women-bp,men-bp,pct-ncd,land-surface-temperature-raster,heat-hazard,exposure,vulnerability,government-response,topsis-score,heat-risk-score,land-surface-temperature,object-id
Anugul,2021_01,Anugul,209,0.0,0.0,34.08,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,4,3,1,3,0.56,3,30.64,21-384
Anugul,2021_02,Anugul,209,0.0,0.0,7.27,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_02.tif,3,3,1,3,0.41,3,34.49,21-384
Anugul,2021_03,Anugul,209,0.0,0.0,5.58,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_03.tif,2,3,1,3,0.38,2,39.19,21-384
Anugul,2021_04,Anugul,209,0.0,0.0,0.0,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_04.tif,3,3,1,3,0.31,2,41.53,21-384
Anugul,2021_05,Anugul,209,0.0,0.0,1.88,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_05.tif,4,3,1,4,0.57,3,38.67,21-384
Anugul,2021_06,Anugul,209,0.0,0.0,0.05,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_06.tif,2,3,1,4,0.31,2,38.6,21-384
Anugul,2021_07,Anugul,209,0.0,0.0,12.59,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_07.tif,3,3,1,4,0.5,3,31.29,21-384
Anugul,2021_08,Anugul,209,0.0,0.0,26.72,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_08.tif,3,3,1,3,0.57,3,30.4,21-384
Anugul,2021_09,Anugul,209,0.0,0.0,4.23,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_09.tif,3,3,1,3,0.5,3,31.1,21-384
Anugul,2021_10,Anugul,209,0.0,0.0,32.36,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_10.tif,3,3,1,3,0.5,3,30.68,21-384
Anugul,2021_11,Anugul,209,0.0,0.0,8.03,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_11.tif,2,3,1,3,0.31,2,28.34,21-384
Anugul,2021_12,Anugul,209,0.0,0.0,0.04,79041,90381,1406704,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_12.tif,2,3,1,3,0.31,2,25.94,21-384
Anugul,2022_01,Anugul,209,0.0,0.0,0.0,81895,90656,1421588,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2022_01.tif,3,3,1,3,0.31,2,26.99,21-384
Anugul,2022_02,Anugul,209,0.0,0.0,0.2,81895,90656,1421588,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2022_02.tif,2,3,1,3,0.31,2,31.7,21-384
Anugul,2022_03,Anugul,209,0.0,0.0,14.42,81895,90656,1421588,9.85,15.8,13.66,281290.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2022_03.tif,2,3,1,3,0.42,3,38.09,21-384
