district,timeperiod,dtname,health-centres-count,total-tender-awarded-value,heat-days-score,sum-aged-population,sum-young-population,sum-population,avg-electricity,piped-hhds-pct,nosanitation-hhds-pct,total-hhd,workers-affected-pct,women-sugar,men-sugar,women-bp,men-bp,pct-ncd,land-surface-temperature-raster,heat-hazard,exposure,vulnerability,government-response,topsis-score,heat-risk-score,land-surface-temperature,object-id
Anugul,2021_01,Anugul,209,0.0,0.0,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,3.0,4.0,1.0,3.0,0.271,2.0,2,21-384
Anugul,2021_02,Anugul,209,0.0,0.018,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_02.tif,2.0,4.0,1.0,3.0,0.143,1.0,3,21-384
Anugul,2021_03,Anugul,209,0.0,31.031,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_03.tif,3.0,4.0,1.0,3.0,0.508,3.0,3,21-384
Anugul,2021_04,Anugul,209,0.0,0.0,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_04.tif,3.0,4.0,1.0,3.0,0.323,2.0,3,21-384
Anugul,2021_05,Anugul,209,0.0,4.865,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_05.tif,5.0,4.0,1.0,4.0,0.692,4.0,2,21-384
Anugul,2021_06,Anugul,209,0.0,0.389,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_06.tif,2.0,4.0,1.0,4.0,0.323,2.0,3,21-384
Anugul,2021_07,Anugul,209,0.0,18.394,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_07.tif,3.0,4.0,1.0,4.0,0.508,3.0,3,21-384
Anugul,2021_08,Anugul,209,0.0,20.764,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_08.tif,3.0,4.0,1.0,3.0,0.508,3.0,2,21-384
Anugul,2021_09,Anugul,209,0.0,3.261,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_09.tif,3.0,4.0,1.0,3.0,0.508,3.0,3,21-384
Anugul,2021_10,Anugul,209,0.0,55.949,9880.088,11297.612,175838.011,9.847,15.795,13.657,35161.25,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_10.tif,4.0,4.0,1.0,3.0,0.621,4.0,4,21-384
