indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,dataSourceLink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,currently feeding into the model,District Level Aggregation,License,cumulativeIndicator,State (Owned),Comments,isRasterAvailable,rasterPolarity
,,,,,,,,,,,,,,,,sdrf-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,restoration-measures-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,relief-and-mitigation-sanction-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,others-tenders-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,sdrf-sanctions-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,immediate-measures-tenders-awarded-value-fy-cumsum,,,,
