indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,dataSourceLink,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,currently feeding into the model,District Level Aggregation,License,cumulativeIndicator,State (Owned),Comments,isRasterAvailable,rasterPolarity
heat-risk-score,Composite Heat Risk,"Composite Heat Risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
Click a district to understand factors contributing to heat risk.",179,Composite Heat Risk,,Score,MODEL,,,y,,y,,,,,,,n,
heat-hazard,Hazard,"Hazard includes the historical incidences of extreme heat events, as well as the geophysical properties of the environment that increases the likelihood of a disaster",166,Hazard,Composite Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
heat-days-score,Extreme Heat Days,The count of heat events within a given region. Heat events are defined as a function of the number of times specific heat thresholds are crossed. Heat thresholds are defined by the local climatology.,200,Hazard,Hazard,Number,ERA5_Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land?tab=overview,,y,monthly,,,sum,,,,,n,
land-surface-temperature,Land Surface Temperature,"This is daytime Land Surface Temperature at a resolution of 1 sq km, averaged over the selected month",,Hazard,Hazard,Celcius,Modis Aqua,,,y,monthly,n,,mean,,,,,y,y
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Composite Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,Number,WORLDPOP,,,y,annually,y,y,sum,,,,,n,
vulnerability,Vulnerability,"The parameters which can affect how vulnerable a community is to extreme heat. 
Indicators under Coping Capacity represent the short-term ability to manage adverse effects of a hazard. 
Indicators under Sensitivity represent susceptibility to harm.
",249,Vulnerability,Composite Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
health-centres-count,Number of Health Centres,This is the number of public health centres in the region,57,Coping Capacity,Vulnerability,Number,BHARATMAPS,,,y,annually,y,y,sum,,,,,n,
avg-electricity,Average availablity of domestic electricity,This is the average number of hours of domestic electricity available daily,75,Coping Capacity,Vulnerability,hours,MISSION ANTYODAYA 2020,,,y,annually,y,y,mean,,,,,n,
piped-hhds-pct,Percentage of households with piped water connection,This is a percentage of households with piped water connection,62,Coping Capacity,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y,annually,y,y,mean,,,,,n,
nosanitation-hhds-pct,Percentage of households without sanitation facilities,This is the percentage of households without sanitation facilities,66,Sensitivity,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y,annually,y,y,mean,,,,,n,
sum-aged-population,Elderly population,This is the number of people of ages greater than or equal to 65,64,Sensitivity,Vulnerability,Number,WORLDPOP,,,y,annually,y,y,sum,,,,,n,
sum-young-population,Children population,This is the number of people of ages less than or equal to 5,60,Sensitivity,Vulnerability,Number,WORLDPOP,,,y,annually,y,,sum,,,,,n,
workers-affected-pct,Worker percentage affected due to heat waves,This is the percentage of workers exposed to heat due to the nature of their occupation,,Sensitivity,Vulnerability,Ratio,PLFS,,,y,annually,y,,,,,,,n,
pct-ncd,Percentage of Population with NCDs,"This is the percentage of population with Non-communicable Diseases (such as high BP and diabetes)
People with NCDs may be more at risk of being impacted by extreme heat.",,Sensitivity,Vulnerability,Ratio,NFHS-5,,,y,anually,y,,,,,,,n,
government-response,Government Response,"This is the amount of resources as funding available to authorities, helping them respond to a disaster event effectively. ",123,Government Response,Composite Heat Risk,Score,MODEL,,,y,monthly,y,,,,,,,n,
total-tender-awarded-value,Total Value : Heat Tenders,This is the total value of tenders tagged for relevance for heat response,73,Government Response,Government Response,INR,,,,y,monthly,y,y,sum,,total-tender-awarded-value-fy-cumsum,,,n,
total-tender-awarded-value-fy-cumsum,Total Value : Heat Tenders,This is the total value of tenders tagged for relevance for heat response,36,Government Response,Government Response,INR,assamtenders.gov.in,,,y,monthly,y,y,sum,sum,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,total-tender-awarded-value-fy-cumsum,,,,
,,,,,,,,,,,,,,,,sopd-tenders-awarded-value-fy-cumsum,,,,
