object-id,district,timeperiod,total-tender-awarded-value,preparedness-measures-tenders-awarded-value,restoration-measures-tenders-awarded-value,relief-and-mitigation-sanction-value,others-tenders-awarded-value,object-idid,stname,dtname,st-area-sh,st-length-,remarks,dist-lgd,state-lgd,subdt-lgd,ac-no,st-length(shape),max-rain,mean-rain,count,sum-rain,count-bhuvan-pixels,count-inundated-pixels,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,sdrf-tenders-awarded-value,sdrf-sanctions-awarded-value,total-tender-awarded-value-fy-cumsum,sdrf-tenders-awarded-value-fy-cumsum,sdrf-sanctions-awarded-value-fy-cumsum,restoration-measures-tenders-awarded-value-fy-cumsum,relief-and-mitigation-sanction-value-fy-cumsum,others-tenders-awarded-value-fy-cumsum,year,mean-sex-ratio,sum-aged-population,sum-young-population,sum-population,schools-count,rail-length,rail-count,road-length,health-centres-count,sdtname,st-area(shape),elevation-mean,slope-mean,sub-district-code,sdtcode,urban-hhd,urban-electricity,urban-tele,urban-hhd-pipe,urban-no-sanitation,rural-hhd,total-hhd,avg-electricity,avg-tele,sd-piped-hhds-pct,sd-nosanitation-hhds-pct,financialyear,government-response,flood-hazard,exposure,vulnerability,financial-year,topsis-score,risk-score
10-209-01113,Araria,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2064777577254507,0.1585631598293132,0.0,63.10813761206667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8999102149451884,28836.654999999795,85802.85999999987,641936.1875,410,184144.84216498383,12.0,890336.1557873877,42.0,Forbesganj,546946456.996027,55.99623155221887,82.7766378253818,1113,1113.0,22328.47092013889,446569.4184027778,66985.41276041667,4182.122603342014,1406.69366796875,131314,153642.47092013888,12.182864589412358,2.0,44.02501612884167,18.762841742471693,2021-2022,5,5,4,3,2021-2022,0.8430321875674551,5
10-209-01120,Araria,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825396582444509,0.1702915999756432,0.0,41.7214419940326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9000160726259414,20759.924999999817,62122.67499999981,473825.96875,354,2580.9684386100303,7.0,974293.2799736804,40.0,Jokihat,341005127.7602247,45.42270065034487,81.43519620548899,1120,1120.0,0.0,0.0,0.0,0.0,0.0,110010,110010.0,8.689810017271157,2.0,28.30106353967821,12.607944732297064,2021-2022,5,5,3,4,2021-2022,0.8427771611678889,5
10-209-01112,Araria,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210520162764522,0.1791422295724213,0.0,62.16235366163023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9068644637770586,20556.89000000013,58391.48499999987,432389.828125,285,270632.0822139735,455.0,854433.4310524515,16.0,Narpatganj,482872068.7863751,63.480983041964585,83.44022261320954,1112,1112.0,0.0,0.0,0.0,0.0,0.0,101449,101449.0,10.74305315971572,2.0,50.26959358889688,19.88979684373429,2021-2022,5,5,3,4,2021-2022,0.8427771611678889,5
10-210-01123,Kishanganj,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4407104812198215,0.3403094670867624,0.0,123.53233655249475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9269318022952644,17965.51500000013,56590.685000000056,428017.265625,317,94100.7552288456,10.0,1005362.0129328852,34.0,Thakurganj,491161543.46963537,65.19672181447753,83.85452105680879,1123,1123.0,3466.4006076388887,69328.01215277778,10399.201822916666,649.2568338107639,218.38323828125,56721,60187.40060763889,10.990938393654751,2.0,35.85344543201947,4.305524432222041,2021-2022,5,5,3,3,2021-2022,0.8064837630515189,5
10-207-01095,Madhubani,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2049793103600127,0.1381611549815318,0.0,22.243945952026632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9095724214729344,17368.774999999907,34948.189999999944,306150.109375,220,115750.30496268065,8.0,563489.5161852669,9.0,Rajnagar,223111125.2667772,56.760603399752334,86.75956321062704,1095,1095.0,1049.3744574652778,20987.489149305555,3148.123372395833,196.5478358832465,66.11059082031251,75730,76779.37445746528,11.90694109725736,2.0,61.93271066857434,19.501475098778265,2021-2022,5,5,2,4,2021-2022,0.7894474412703093,5
10-207-01093,Madhubani,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2047136918531109,0.184448987891739,0.0,26.00730729273521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9094267547476126,22990.470000000205,46265.419999999925,412508.9375,291,33309.13826540664,8.0,785271.3312862678,9.0,Madhubani,200359220.56727448,53.12067237335365,86.72004490507788,1093,1093.0,0.0,0.0,0.0,0.0,0.0,64266,64266.0,11.479631531447422,2.0,40.31680826564591,15.353375035010735,2021-2022,5,5,2,4,2021-2022,0.7894474412703093,5
10-209-01119,Araria,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818155917048454,0.2220765983489065,0.0,48.85685163675944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9014916537912192,11584.320000000298,34754.01000000001,263245.9609375,251,0.0,0.0,830328.7341470642,16.0,Palasi,306240761.34804773,51.69565060683111,81.83475320454009,1119,1119.0,0.0,0.0,0.0,0.0,0.0,66807,66807.0,11.132276557845737,2.0,56.315954914904125,12.278653434520336,2021-2022,5,5,2,4,2021-2022,0.7894474412703093,5
10-208-01111,Supaul,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285023959269126,0.1910075125061643,0.0,55.39217862678767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.908688000302764,20597.725000000093,51608.23999999999,425498.578125,307,0.0,0.0,1102009.794192813,9.0,Tribeniganj,402291551.99740016,54.12795157363265,81.78672660983031,1111,1111.0,0.0,0.0,0.0,0.0,0.0,91137,91137.0,11.72619243556404,2.0,61.01254155831331,17.83907743287578,2021-2022,5,5,2,4,2021-2022,0.7894474412703093,5
10-215-01188,Darbhanga,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091316087222347,0.1221737509271679,0.0,18.326062639075182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8957644122939754,14627.784999999916,30502.330000000075,263847.9921875,238,102147.03657619804,35.0,743175.7991025808,15.0,Benipur,204643530.87647069,45.48594607562338,86.39032749242347,1188,1188.0,0.0,0.0,0.0,0.0,0.0,76003,76003.0,11.36776179887636,2.0,32.19872899753957,15.490178019288711,2021-2022,5,5,2,4,2021-2022,0.7894474412703093,5
10-208-01109,Supaul,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2102416760769155,0.141581528464768,0.0,40.917061726317975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9073132383481012,26995.71499999985,67909.77499999944,540419.703125,327,143459.77144765636,9.0,989058.942257238,34.0,Supaul,390920691.5720901,47.603002245532,81.75566766126303,1109,1109.0,0.0,0.0,0.0,0.0,0.0,145735,145735.0,11.820701959035237,2.0,38.48835214601846,4.54043297766494,2021-2022,5,5,3,2,2021-2022,0.7639163248015914,5
