object-id,district,timeperiod,total-tender-awarded-value,sdmf-tenders-awarded-value,sdrf-tenders-awarded-value,ridf-tenders-awarded-value,restoration-measures-tenders-awarded-value,immediate-measures-tenders-awarded-value,others-tenders-awarded-value,max-rain,mean-rain,count,sum-rain,id,block-lgd,dtname,dtcode11,block-name,mean-daily-runoff,sum-runoff,peak-runoff,count-bhuvan-pixels,count-inundated-pixels,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,year,mean-sex-ratio,sum-aged-population,sum-young-population,sum-population,schools-count,rail-length,rail-count,road-length,road-count,health-centers-count,block-area,elevation-mean,slope-mean,net-sown-area-in-hac,avg-electricity,avg-tele,block-piped-hhds-pct,block-nosanitation-hhds-pct,total-hhd,drainage-density,distance-from-river,distance-from-sea,min-distance-from-sea,exposure,flood-hazard,government-response,vulnerability,financial-year,total-tender-awarded-value-fy-cumsum,sdmf-tenders-awarded-value-fy-cumsum,preparedness-measures-tenders-awarded-value-fy-cumsum,immediate-measures-tenders-awarded-value-fy-cumsum,ridf-tenders-awarded-value-fy-cumsum,others-tenders-awarded-value-fy-cumsum,sdrf-tenders-awarded-value-fy-cumsum,topsis-score,risk-score,Unnamed: 0,level_0,index
21-378-03326,Bhadrak,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,517.0,26.3,0.0,3326.0,Bhadrak,378.0,CHANDABALI,-2418.6035448387097,-1499579.3124000002,57.78199999999999,0.0,0.0,0.0,0.0,0.0,0.0,,0.97,18372.0,18093.0,297642.0,321,23818.0,5.0,178504.0,31.0,40.0,601.0,2.0,2.0,22363.95,9.1,3.0,17.94,24.77,45916.0,0.00022155,2891.42225963772,6.829,0.0,4,4,2,4,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,5,,,
21-378-03323,Bhadrak,2021_04,13149056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,302.0,13.77,0.0,3323.0,Bhadrak,378.0,BHADRAK,0.1611374689826303,64.9384,6.8431000000000015,0.0,0.0,0.0,0.0,0.0,0.0,,0.97,19218.0,19103.0,404389.0,428,37958.0,23.0,92174.0,17.0,36.0,351.0,14.0,2.0,14863.43,10.0,3.0,9.31,15.29,51821.0,0.00020891,3388.04683504921,28.872,18.668,4,4,2,4,2021-2022,13149056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,5,,,
21-380-03390,Jagatsinghapur,2021_04,2283025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,242.0,9.8,0.0,3390.0,Jagatsinghapur,380.0,KUJANG,-1934.0168341935484,-599589.0832,29.3985,0.0,0.0,0.0,0.0,0.0,0.0,,0.96,29193.0,18598.0,268073.0,202,51114.0,15.0,153272.0,50.0,39.0,284.0,3.0,2.0,7176.15,10.0,3.0,18.37,9.7,21510.0,0.00040208,1669.40890951349,3.753,0.0,3,4,2,4,2021-2022,2283025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,5,,,
21-382-03397,Jajapur,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,276.0,13.16,0.0,3397.0,Jajapur,382.0,DAHRMASALA,0.0306198511166253,12.3398,1.2398000000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.96,10807.0,10133.0,254987.0,318,30902.0,6.0,132456.0,27.0,42.0,321.0,25.0,3.0,11860.44,10.3,2.0,13.68,29.52,51725.0,0.00026011,1894.1837778554,3.788,0.0,3,4,2,4,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,5,,,
21-375-03448,Kendujhar,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,882.0,70.41,0.0,3448.0,Kendujhar,375.0,HARICHADANPUR,0.3264567362428842,344.0854,8.9509,0.0,0.0,0.0,0.0,0.0,0.0,,0.97,7388.0,11703.0,149662.0,272,49590.0,8.0,164137.0,21.0,44.0,1014.0,396.0,7.0,13786.19,8.2,2.0,19.12,28.07,31698.0,0.00031254,1174.73936104255,39.898,21.422,4,3,2,5,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,5,,,
21-399-03482,Malkangiri,2021_04,12240423.0,0.0,0.0,0.0,9010073.0,0.0,3230350.0,0.18,0.15,857.0,126.98,0.0,3482.0,Malkangiri,399.0,KORUKONDA,0.6687622119815668,725.6070000000001,17.174699999999998,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,7017.0,15119.0,165495.0,284,0.0,0.0,211172.0,49.0,36.0,1004.0,281.0,7.0,13394.72,8.5,3.0,4.89,30.36,21907.0,0.00014658,2725.32336251913,74.234,56.991,3,4,1,5,2021-2022,12240423.0,0.0,9010073.0,0.0,0.0,3230350.0,0.0,0.72,5,,,
21-379-03438,Kendrapara,2021_04,21759187.0,0.0,0.0,0.0,2674649.0,0.0,0.0,0.07,0.05,455.0,23.31,0.0,3438.0,Kendrapara,379.0,MAHAKALAPADA,-3414.592792823874,-1799561.0299999998,25.7524,0.0,0.0,0.0,0.0,0.0,0.0,,0.99,34341.0,24659.0,285340.0,332,12048.0,2.0,138485.0,17.0,41.0,523.0,2.0,2.0,13238.9,10.3,3.0,13.48,17.28,44033.0,0.00021186,2203.33659887079,1.822,0.0,3,4,1,5,2021-2022,21759187.0,0.0,2674649.0,0.0,0.0,0.0,0.0,0.72,5,,,
21-382-03394,Jajapur,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,331.0,16.38,0.0,3394.0,Jajapur,382.0,BADCHANA,0.0347334987593052,13.9976,1.7807,0.0,0.0,0.0,0.0,0.0,0.0,,0.96,21460.0,19748.0,273433.0,324,34295.0,12.0,140698.0,72.0,46.0,380.0,33.0,3.0,12187.66,10.3,2.0,7.53,9.15,55416.0,0.00021977,1880.33647278435,9.404,0.0,4,4,2,3,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5,,,
21-376-03491,Mayurbhanj,2021_04,382569.076,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,278.0,10.82,0.0,3491.0,Mayurbhanj,376.0,BETNOTI,0.2151075268817204,60.01499999999999,4.755199999999999,0.0,0.0,0.0,0.0,0.0,0.0,,0.99,11899.0,16391.0,183881.0,239,26755.0,4.0,38740.0,3.0,36.0,315.0,28.0,2.0,12149.74,9.4,3.0,13.83,27.99,28349.0,6.402e-05,3997.64251991732,13.163,1.811,2,4,2,5,2021-2022,382569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5,,,
21-375-03447,Kendujhar,2021_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,736.0,22.05,0.0,3447.0,Kendujhar,375.0,GHATGAON,0.3090422691879866,277.829,7.175199999999999,0.0,0.0,0.0,0.0,0.0,0.0,,0.97,8690.0,13769.0,161168.0,261,32836.0,4.0,135417.0,17.0,34.0,843.0,351.0,4.0,12647.252,9.3,3.0,12.17,15.79,25256.0,0.00021487,1661.39342128765,58.635,39.991,3,3,2,5,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,4,,,
